#[SH0ES_CALIB][HEALPIX] This is the data for LCDM distribution with new set of data for each repetition
# 500 repetitions, 1536 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_lcdm_max            delta_q0_lcdm_max
1.319335937500010214e-02 1.035449218750001954e+00
1.315917968749991118e-02 1.190039062500001688e+00
1.380859374999987566e-02 1.092675781250001865e+00
1.514160156250010658e-02 1.385839843750002132e+00
1.907226562499997335e-02 1.601171875000002132e+00
1.712402343749985789e-02 9.084960937500010658e-01
1.746582031250010214e-02 1.542968750000003109e+00
1.309082031249997335e-02 1.149707031250001732e+00
1.722656249999987566e-02 1.259472656250001599e+00
2.201171874999985345e-02 1.905566406250003286e+00
1.941406249999988454e-02 1.391308593750002487e+00
2.084960937499991118e-02 1.522851562500002753e+00
1.903808593750011546e-02 1.134375000000001688e+00
1.538085937499988898e-02 1.386035156250001954e+00
2.419921874999997335e-02 1.827539062500002309e+00
1.797851562499985789e-02 1.415039062500002665e+00
1.763671874999994671e-02 9.008789062500018874e-01
1.517578124999996447e-02 9.500000000000021760e-01
1.934570312499994671e-02 1.021972656250001554e+00
1.575683593749988010e-02 1.042187500000001821e+00
1.968750000000007994e-02 1.374316406250002842e+00
1.722656250000009770e-02 1.367578125000001865e+00
1.531249999999995115e-02 1.361132812500001954e+00
1.459472656250004885e-02 9.921875000000017764e-01
1.722656249999998668e-02 1.331250000000002043e+00
1.449218749999992006e-02 1.034570312500001421e+00
1.920898437500007105e-02 1.265820312500002265e+00
2.440429687500000888e-02 1.827441406250003286e+00
1.233886718750010214e-02 9.726562500000017764e-01
1.391113281250000444e-02 1.246582031250002220e+00
1.866210937499990230e-02 1.626953125000002442e+00
1.562011718750000444e-02 1.372949218750002309e+00
1.599609374999999556e-02 1.198632812500001865e+00
1.151855468749996003e-02 8.420898437500010658e-01
1.804687500000001776e-02 1.612890625000002798e+00
1.363769531250003109e-02 8.838867187500019096e-01
1.828613281250002220e-02 8.173828125000016653e-01
1.305664062500000444e-02 1.073437500000001599e+00
2.221679687499988898e-02 1.423925781250002132e+00
1.220214843749989342e-02 9.463867187500014655e-01
1.497070312499981792e-02 1.559667968750002354e+00
2.043945312500006217e-02 1.581835937500002398e+00
2.187499999999986677e-02 1.477734375000001821e+00
1.917480468749999112e-02 1.154394531250002132e+00
1.920898437499996003e-02 1.660644531250002442e+00
1.524414062499990230e-02 1.292089843750001688e+00
2.190917968749994671e-02 1.503027343750002354e+00
2.064453124999998668e-02 1.185546875000001776e+00
1.127929687499984457e-02 8.468750000000007105e-01
2.020019531250005773e-02 1.509863281250002576e+00
1.866210937499990230e-02 1.156640625000001421e+00
1.732910156249989342e-02 1.433984375000001865e+00
1.490234374999988010e-02 1.108886718750001776e+00
1.257812499999988454e-02 9.197265625000019540e-01
1.428710937499988454e-02 1.475585937500002220e+00
1.961914062500003109e-02 1.288281250000001821e+00
1.039062499999998668e-02 9.236328125000017319e-01
1.196289062499988898e-02 9.150390625000014433e-01
1.216796875000014655e-02 9.753906250000017319e-01
1.148437499999999112e-02 1.008300781250001332e+00
1.538085937500000000e-02 1.155664062500002087e+00
1.579101562500007105e-02 1.548242187500002531e+00
1.544921874999982681e-02 1.429003906250002176e+00
1.640624999999995559e-02 1.419628906250002043e+00
1.859374999999996447e-02 1.254589843750002487e+00
1.449218749999992006e-02 1.187695312500002265e+00
1.452636718750000000e-02 1.145507812500001332e+00
1.442382812500020428e-02 1.159082031250002309e+00
2.471191406250006217e-02 2.040234375000003375e+00
1.165527343749994671e-02 1.088085937500001599e+00
2.146484375000001776e-02 1.161621093750001554e+00
1.080078124999983569e-02 8.831054687500019540e-01
1.657714843750002220e-02 1.523339843750002975e+00
1.520996093749993339e-02 1.000976562500001332e+00
1.654296874999994227e-02 1.095996093750001954e+00
1.695312500000001332e-02 1.326074218750002087e+00
1.387695312499992450e-02 9.379882812500014433e-01
2.156738281250003553e-02 1.797070312500002931e+00
2.324218750000006661e-02 1.825097656250003197e+00
1.428710937499988454e-02 1.190917968750002220e+00
1.097167968750012434e-02 9.273437500000015765e-01
1.107421875000003109e-02 5.941406250000014211e-01
1.114257812499996891e-02 9.524414062500015099e-01
1.517578125000007550e-02 1.253515625000001910e+00
1.613281249999998224e-02 1.196777343750001998e+00
2.252441406250005329e-02 1.477929687500002087e+00
2.146484374999990674e-02 1.545214843750002176e+00
1.866210937499990230e-02 1.225976562500002309e+00
1.633789062499990674e-02 1.520898437500002753e+00
1.237304687499996003e-02 1.022363281250001421e+00
1.288574218749993783e-02 8.763671875000015321e-01
2.542968749999996447e-02 2.071484375000002931e+00
