# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.678, zup= 0.1, zdown= 0.0
# 
#  h0u h0u_err h0d h0d_err q0u q0u_err q0d q0d_err
7.206661830935562341e-01 2.110827567210816959e-03 7.289876532299173206e-01 2.716746649334012258e-03 2.610296843856794613e+00 1.500899023172418134e-01 2.554434388142845958e+00 1.747415694607794556e-01
7.208699122900361633e-01 2.096173517367286385e-03 7.286562595646923768e-01 2.761509202980004431e-03 2.598692846452222760e+00 1.477802729760010758e-01 2.538665317983329395e+00 1.764819227207333752e-01
7.210756621749058182e-01 2.070979673420932001e-03 7.286182384247644750e-01 2.830106699984588723e-03 2.520158342318421507e+00 1.410372614045600492e-01 2.684866204579921867e+00 1.960955110884595731e-01
7.190206143757810198e-01 2.052909183184919387e-03 7.327498402640338915e-01 2.874897693134428282e-03 2.358284308052413625e+00 1.385428904501858072e-01 3.113143911784479467e+00 2.030994245424683486e-01
7.203940553305178129e-01 2.061791080216509968e-03 7.302353893183423095e-01 2.878570770790134410e-03 2.448549607044449683e+00 1.393249121428977166e-01 2.912295492323824231e+00 2.053579496277925243e-01
7.228512605206429686e-01 2.081822319722214949e-03 7.259460253575141797e-01 2.846559322447728916e-03 2.481995674468061797e+00 1.391225682378850192e-01 2.857936963970342248e+00 2.049983667410720523e-01
7.216419761223457074e-01 2.082283841131006303e-03 7.288826349578101382e-01 2.868813735146713909e-03 2.459514954290718869e+00 1.411555538963617795e-01 2.920474668363223447e+00 1.989840514815620354e-01
7.213558463946688759e-01 2.075074021217986238e-03 7.302017030368698203e-01 2.867786582563899671e-03 2.453462338745098226e+00 1.403425774095938827e-01 2.980186727104756628e+00 1.998389348297824608e-01
7.212037010046936647e-01 2.063785579678603134e-03 7.300037797313418952e-01 2.908413130432276408e-03 2.476847929466395204e+00 1.416454491942881200e-01 2.865987814523641930e+00 1.975850031064665391e-01
7.199246028770125427e-01 2.061402132972990631e-03 7.327083537667672397e-01 2.935835047936393924e-03 2.411022545783904736e+00 1.416759130688041712e-01 3.006501865464287881e+00 1.991480891198608716e-01
7.203074910315726553e-01 2.050121683791903109e-03 7.319657094777486384e-01 2.967307340225045376e-03 2.444216540360041545e+00 1.419562272379313872e-01 2.897796910629120148e+00 1.982444496188998373e-01
7.186584263623667646e-01 2.051283611411096330e-03 7.356110129573291134e-01 2.948403495711591181e-03 2.323387196291650358e+00 1.424802960975197486e-01 3.128362333045013433e+00 1.931904667016223487e-01
7.175648035256252388e-01 1.000000000000000000e+00 7.376114492678201850e-01 2.941388386778242756e-03 2.230630047116704429e+00 1.410182509349137969e-01 3.330396812993857480e+00 1.953186554716033752e-01
7.169541338216698367e-01 2.042887764563552835e-03 7.390287129355832541e-01 2.924870817471293769e-03 2.249686281388912690e+00 1.415969800662655598e-01 3.283041409876818584e+00 1.934027905259465552e-01
7.180570719046248662e-01 2.044946312876746823e-03 7.361115870541282691e-01 2.889387385419979991e-03 2.332067027671350434e+00 1.411804639025674712e-01 3.109515130536791627e+00 1.937975175019384377e-01
7.184531137511699361e-01 2.050232685308385483e-03 7.344631213756848132e-01 2.856606001299672425e-03 2.301102780211894405e+00 1.406636385239331821e-01 3.162940195520840270e+00 1.956072379201499734e-01
7.203872205843853127e-01 2.100120968312144468e-03 7.297836590834070325e-01 2.743973922927015439e-03 2.574164794153579461e+00 1.487055038239101235e-01 2.604623149965824336e+00 1.794664646412193199e-01
7.212926439373055221e-01 2.099066179641032211e-03 7.278434829204853962e-01 2.755787775733042032e-03 2.567985492069587483e+00 1.479293975520972748e-01 2.602157338217180982e+00 1.806937656388953872e-01
7.218794782831466916e-01 2.118376959971014512e-03 7.270288421884031349e-01 2.723156987446571572e-03 2.631316065412405703e+00 1.495975971905673940e-01 2.503327743609605083e+00 1.796838536624506544e-01
7.223400920209377407e-01 2.117198714317708105e-03 7.265446791177923025e-01 2.722260879628295334e-03 2.675779266729539252e+00 1.492196391378232123e-01 2.465143055145600837e+00 1.796924821335015576e-01
