# [SH0ES_CALIB] This is the data for LCDM distribution with a new set of data for each repetition
# 500 repetitions, 3072 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_lcdm_max            delta_q0_lcdm_max
1.751539247395528243e-02 1.448088036668299772e+00
2.046727967559580641e-02 1.310213279169299083e+00
1.323925489772104225e-02 1.189214893971406672e+00
9.979704487335538943e-03 8.984493205331012255e-01
2.286853055414639346e-02 1.736735190768018633e+00
1.299841869055395893e-02 9.672991776879729109e-01
2.313235556210280208e-02 1.643015501415889812e+00
1.662468145267304021e-02 1.330277747302210489e+00
1.474721462377315273e-02 1.163342276928901464e+00
2.464993495084144559e-02 1.836709007908143176e+00
1.577964274704879433e-02 1.173103775311265640e+00
1.139326028863052453e-02 1.133737131794660735e+00
1.539626965111196011e-02 1.229808325028693750e+00
1.801627944162742523e-02 1.334753257463693776e+00
1.347091469949357467e-02 1.035739162136275482e+00
2.355686585774763309e-02 1.502756920137527041e+00
9.527706424041881839e-03 9.202081379723882071e-01
2.262539799536167351e-02 1.693558294829274224e+00
1.635798228043772173e-02 1.310516728409747866e+00
1.838034266836785502e-02 1.353474150408890075e+00
1.589681337143467044e-02 1.286396633219269781e+00
1.383385797679026474e-02 8.625661365874059960e-01
1.659494102224567946e-02 1.479437574388678067e+00
1.228835448835530197e-02 1.179291399017404984e+00
2.216467388512022296e-02 1.534064966010520559e+00
1.851942880055712504e-02 1.091034893927061988e+00
1.556866863256323175e-02 1.074426321749939017e+00
1.324062025833139256e-02 9.973161757431330265e-01
1.707791700987759675e-02 1.374668901133843102e+00
1.317332006391491728e-02 1.181888440550239672e+00
1.299450713702932081e-02 9.719394711613071891e-01
2.370947846578630447e-02 1.692668462388437156e+00
1.809943909266586992e-02 1.513650357369033861e+00
1.603659207762120342e-02 1.379237584671562988e+00
1.813204889859987290e-02 1.420941408305880671e+00
2.221002260083304591e-02 1.589056649374493091e+00
1.382367410678664310e-02 1.081073458586645275e+00
1.233592987498588478e-02 9.574166580873034738e-01
1.472243564054298570e-02 1.330957476782176796e+00
1.648091064900403246e-02 1.267472964848442629e+00
1.547952511052486102e-02 1.097338945126526744e+00
1.767324582260776378e-02 1.241530407856982876e+00
1.649694846803861914e-02 1.293900137416704954e+00
1.965496849149306335e-02 1.379464648730983400e+00
1.481551799942359970e-02 1.248347282853541795e+00
1.396120621081664570e-02 1.063264572976196476e+00
1.566799935817808631e-02 1.165524442797306381e+00
1.498763635208122391e-02 1.071677682084605010e+00
1.539714408153891601e-02 1.113595510286054635e+00
1.367730708173142684e-02 1.221938129434620768e+00
1.694341636734630896e-02 1.247878727579376790e+00
1.898834836615059807e-02 1.116159793528446187e+00
1.373222291625630920e-02 1.058496764707637539e+00
1.390168411959014083e-02 9.517539361055609159e-01
2.564382343573745615e-02 1.888017096753691781e+00
2.040269124002191958e-02 1.491157396724551054e+00
1.297128475262743219e-02 1.210481927967160143e+00
1.316068313013940561e-02 8.773539877987170943e-01
1.823734734705073635e-02 1.329943507553788429e+00
1.285746425677625204e-02 1.151089225024909624e+00
1.762738911271666264e-02 1.234732069932841014e+00
2.597890746501840820e-02 2.274114807815216022e+00
2.019777037749326265e-02 1.288358433044623830e+00
1.348348812210253822e-02 1.073331310283206053e+00
1.508846121770612836e-02 1.246668964191592455e+00
2.064459472703894516e-02 1.765358875457721632e+00
1.862160999598350131e-02 1.335283584529432410e+00
2.520662159064057661e-02 1.938175081079130058e+00
2.143724540650326915e-02 1.817767860206105368e+00
1.472779731781148627e-02 9.600756282981931511e-01
2.165045818316202464e-02 1.544569791639353706e+00
1.282893802560169938e-02 1.329108946825087623e+00
2.348050524486111623e-02 1.523908100558358347e+00
1.728302610361487357e-02 1.236711100980138811e+00
1.582571040263069939e-02 1.358572980820303755e+00
2.014873517556758920e-02 1.638097806656486188e+00
1.735030030678230695e-02 1.263693116318342025e+00
2.164091142397150946e-02 1.865747667191298031e+00
2.591043097545486784e-02 2.419872703740379993e+00
2.070813865362608475e-02 1.466671846324110184e+00
1.270474715119429554e-02 1.102753901975257467e+00
1.561874152331199639e-02 1.168583296145129236e+00
1.905211181077426374e-02 1.381852916644487728e+00
1.516954924177715824e-02 1.162243723145995444e+00
1.472065775785225128e-02 1.093676660890662511e+00
1.557637362946817650e-02 1.329495667767713885e+00
1.706766785740310155e-02 9.822815339999206863e-01
1.562127922808986824e-02 1.345076024725092800e+00
1.424018947649308142e-02 1.122980724710705092e+00
1.526811558089113952e-02 1.167718929128185756e+00
1.341480429295494048e-02 1.140836022341574107e+00
1.392885740602156641e-02 9.887432210347850692e-01
1.872701008753208107e-02 1.503384476698169214e+00
1.933627313047836527e-02 1.751380091557093843e+00
2.209248221048298877e-02 1.700312977847851403e+00
1.543230215090374280e-02 1.167915616460399875e+00
2.591342924757911170e-02 1.728948781790783373e+00
1.530642625845124449e-02 1.204003569812791774e+00
2.127929076669310415e-02 1.691143314694401267e+00
1.751459652130915590e-02 1.365401509166255245e+00
1.745538831301152172e-02 1.172810190759360882e+00
1.431305363102552963e-02 1.020368411300541567e+00
2.326888935568571792e-02 1.725906326939135926e+00
1.226173845938882678e-02 1.364948415592741160e+00
1.490477672580603485e-02 1.328772020730649928e+00
1.636138407518572535e-02 1.268430996253173682e+00
1.512478338564660074e-02 1.137310848849502953e+00
1.820626172332806547e-02 1.247615140081587359e+00
1.641304946365296225e-02 1.109817475580390900e+00
1.860795957997907202e-02 1.212896080626846063e+00
2.536961483422395247e-02 1.615302807555433429e+00
1.857672160069756551e-02 1.019837869410855413e+00
1.456274334329432651e-02 1.310885574286439370e+00
1.572276210436496235e-02 1.163030168835782252e+00
1.733521774493962386e-02 1.346809511298880713e+00
2.487726254372979451e-02 1.815623019879655464e+00
1.511198094881394116e-02 1.256596134356728012e+00
1.847957849803316677e-02 1.272334925404078110e+00
