# [SH0ES_CALIB][HEALPIX] This is the data for ISO distribution with new set of data for each repetition
# 500 repetitions, 1536 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_iso_max           delta_q0_iso_max
1.367574513210900733e-02 8.938888648604688125e-01
1.072587150510007081e-02 9.563738626941440391e-01
1.151354322581832346e-02 9.545784121719543824e-01
1.179784768256197935e-02 6.836735108162044217e-01
5.500741941089959397e-03 5.764634790807916520e-01
9.108612003524418910e-03 8.216781273819395714e-01
1.116743637588202276e-02 9.510463979010199687e-01
1.178320686692702068e-02 7.982357008018854394e-01
7.910194997757025170e-03 7.218931261392470544e-01
8.020741701864952944e-03 7.873937373648492999e-01
1.020169103924006837e-02 6.789193776770676703e-01
8.241602673260572942e-03 6.770130189040669544e-01
1.021787532941376142e-02 1.080988120797748309e+00
1.171343522754075828e-02 7.781406370072481149e-01
8.050638817556299287e-03 6.904830809985188500e-01
1.419384852394867114e-02 8.197559098214169948e-01
1.379929427903048289e-02 9.550159734083354390e-01
9.976968036156219632e-03 7.883878123215816158e-01
1.025693934928739726e-02 7.319797432070541676e-01
6.946535773707185335e-03 6.001344757940706431e-01
7.686506801205750250e-03 5.605815272125449500e-01
9.693415438411179252e-03 7.485467863031102231e-01
7.816462529316559049e-03 6.339357511852705684e-01
7.315154852088667781e-03 5.499791819876118648e-01
1.132349997609771730e-02 9.654179955966863957e-01
1.004915301271513961e-02 6.586742758984038826e-01
8.089672318692064934e-03 7.583904213981629283e-01
9.661159118437678828e-03 7.332287916422242091e-01
8.504974253997987788e-03 7.070757920946022512e-01
9.304313645954631617e-03 9.426815369405501244e-01
1.502742208505503108e-02 1.139328617083049888e+00
1.013735318161679277e-02 8.495321147132448569e-01
1.298984462980645738e-02 1.072597547547717634e+00
1.233410276529522953e-02 8.785515573169926373e-01
1.123251230096011799e-02 1.080518342346406202e+00
1.094340177034591743e-02 8.984040166678599615e-01
1.028449545033538470e-02 6.923348727115724577e-01
1.117845189010258089e-02 8.124043911444643884e-01
9.885360854458680180e-03 6.558627698929286876e-01
8.486579318409237516e-03 6.441274939169689961e-01
8.564814672411547036e-03 8.770233392289396024e-01
1.059634853790414333e-02 8.543475288416784164e-01
1.214174913945931245e-02 8.828722202253864726e-01
9.126708990574328162e-03 6.851454074659812932e-01
1.044510149092892082e-02 8.650744131762615474e-01
9.697911618628873853e-03 6.931342846530196278e-01
9.634807210561979751e-03 6.265014497832488427e-01
1.427151605160947856e-02 9.787366004303715838e-01
1.041263107952994371e-02 6.085544382030650956e-01
1.101425080811757606e-02 8.218270249922809967e-01
1.134784436368174720e-02 8.615836625171086061e-01
9.361873983222190887e-03 7.849574245920176718e-01
1.466631720896582891e-02 1.011608730706750947e+00
1.038176771988741365e-02 7.260739520763195287e-01
1.054849559696746653e-02 6.983348418646431188e-01
1.484911407819089479e-02 1.083452770982826552e+00
1.551024500186637400e-02 1.213511744923128299e+00
1.165226549810371992e-02 6.757148213028927319e-01
7.036630191179837901e-03 5.029057307709356994e-01
9.555403956743480087e-03 7.585802575664426506e-01
9.939502125898114215e-03 6.823818105293553149e-01
9.004555917257572872e-03 8.244808588136807170e-01
1.087634768106260363e-02 7.183722757532369219e-01
1.049962357301548188e-02 6.769539015777332747e-01
1.101666918084076574e-02 8.138364676557585664e-01
1.342913907190002032e-02 9.129517694452764509e-01
7.116934564431964816e-03 6.198734357868276312e-01
7.630805737642742947e-03 6.240152657747783937e-01
1.287980301149349582e-02 9.341987555593607162e-01
8.091407592922816860e-03 6.101679244061821716e-01
7.866140568963397861e-03 7.560375551637696923e-01
9.131856624066903017e-03 8.120321309276654631e-01
7.103685902229428528e-03 6.750315136788695991e-01
1.024953843694220712e-02 8.905075924661405296e-01
1.178174163400791397e-02 8.613454962943227766e-01
1.113954046926568520e-02 8.536345622384824416e-01
1.130136731879061163e-02 7.836242234105891269e-01
1.140865433175985988e-02 9.581720866821019644e-01
8.922203334680300912e-03 8.208867635657840500e-01
1.152595230707409435e-02 9.263024153899966917e-01
1.811465062772621426e-02 1.188029176957787092e+00
1.129465769394522034e-02 8.135414785610154409e-01
9.998876173699655645e-03 7.882312774083671814e-01
9.364060759880055151e-03 7.510595684292107332e-01
1.053777776288811197e-02 5.772378807653810728e-01
1.829425776999338282e-02 1.274140509684859479e+00
7.460028641824600903e-03 7.160973978179372423e-01
1.229367032142558713e-02 1.141358156207481045e+00
8.847830915850729561e-03 6.832610926712054944e-01
8.711393123080779510e-03 6.580670966822284029e-01
1.333499163068807558e-02 1.296236597900946919e+00
1.451060371280721295e-02 1.094327483599059070e+00
1.209727275278937864e-02 9.178357624476073395e-01
1.174356366166817711e-02 9.590638441016920979e-01
8.514470945024332771e-03 6.160257031863767274e-01
1.029570856401529344e-02 8.364555117615226632e-01
1.106840034319944710e-02 8.670228112079256810e-01
7.519170306330202891e-03 4.876433817882147026e-01
1.027364821690546215e-02 5.472386767072685565e-01
8.514597955195601919e-03 6.222703499278203765e-01
1.051761986853838593e-02 7.614034700688221413e-01
1.596954504180070344e-02 1.120603981887333012e+00
1.041456755361325204e-02 9.231988717186598858e-01
1.078947762322968185e-02 7.868614789887621308e-01
1.010482525153166833e-02 7.163031158873142124e-01
1.050922883623528481e-02 6.770807512969722053e-01
1.128240484618137085e-02 7.074940752324561100e-01
