#[SH0ES_CALIB][HEALPIX] This is the data for ISO distribution with new set of data for each repetition
# 500 repetitions, 1536 points, q0f= -0.574 h0f= 0.678
# 
# delta_h0_iso_max           delta_q0_iso_max
1.312499999999983125e-02 1.154589843750001066e+00
1.086914062499977351e-02 7.403320312500007994e-01
9.501953125000017764e-03 1.001464843750000444e+00
8.715820312499844569e-03 5.833007812500001776e-01
1.117675781250004885e-02 7.586914062500009770e-01
1.203124999999993783e-02 1.022167968750000266e+00
1.145019531249991118e-02 9.274414062500002665e-01
1.049316406250000444e-02 1.083691406250000266e+00
1.073242187499978684e-02 6.186523437500000000e-01
1.312499999999983125e-02 1.112500000000001155e+00
1.032226562500004885e-02 9.238281250000004441e-01
1.497070312499992895e-02 8.183593750000004441e-01
1.257812499999988454e-02 1.156933593750000711e+00
1.244140624999989786e-02 7.430664062500009770e-01
1.203124999999993783e-02 8.479492187500015099e-01
1.175781249999996447e-02 9.549804687500009770e-01
9.912109374999866773e-03 8.160156250000003553e-01
8.989257812499928946e-03 7.879882812500005329e-01
1.250976562499983569e-02 1.153613281250000622e+00
9.023437499999897859e-03 4.600585937499999112e-01
7.314453124999897859e-03 5.642578125000001776e-01
8.476562499999840128e-03 7.152343750000014211e-01
1.326171874999992895e-02 1.075195312500001332e+00
8.647460937499906741e-03 9.929687500000010658e-01
8.203124999999866773e-03 6.113281250000004441e-01
8.134765624999817923e-03 7.032226562500007994e-01
1.059570312500002220e-02 9.239257812500007994e-01
9.775390624999991118e-03 8.286132812500004441e-01
1.175781249999996447e-02 1.094531250000001954e+00
1.138183593749997335e-02 9.964843750000009770e-01
1.018554687499995115e-02 8.450195312500010658e-01
9.331054687499951150e-03 8.956054687500007994e-01
1.032226562500004885e-02 9.433593750000004441e-01
9.775390624999880096e-03 6.306640625000006217e-01
1.257812499999988454e-02 8.886718750000004441e-01
1.018554687499995115e-02 7.090820312500012434e-01
1.274902343749995115e-02 9.447265625000005329e-01
1.531249999999984013e-02 1.254003906250000799e+00
6.630859375000075495e-03 7.462890625000002665e-01
1.527832031250009326e-02 1.189746093750001510e+00
1.339843749999991562e-02 9.892578125000004441e-01
7.861328124999844569e-03 6.156250000000005329e-01
8.100585937499960032e-03 6.645507812500000000e-01
1.397949218749994227e-02 9.135742187500004441e-01
9.091796874999835687e-03 9.787109375000002665e-01
7.451171874999884537e-03 5.746093750000005329e-01
1.039062499999987566e-02 5.381835937500003553e-01
9.057617187499755751e-03 7.006835937500013323e-01
6.699218750000013323e-03 6.483398437500005329e-01
8.032226562499911182e-03 7.958007812500005329e-01
9.433593749999968914e-03 7.860351562500000888e-01
9.843749999999928946e-03 7.309570312500004441e-01
9.023437499999786837e-03 7.829101562500007105e-01
6.528320312500057732e-03 6.716796875000006217e-01
1.247558593749997780e-02 8.214843750000007105e-01
8.579101562499857891e-03 6.000000000000005329e-01
1.182617187499990230e-02 9.673828125000007994e-01
1.196289062499988898e-02 8.054687500000010658e-01
9.228515624999822364e-03 9.074218750000011546e-01
8.749999999999924505e-03 8.052734375000003553e-01
9.980468749999915623e-03 9.338867187500010658e-01
9.809570312499960032e-03 8.762695312499997335e-01
