# This is the data for the dw statistics for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.0
#  dw_up dw_down
1.397255929338115266e+00 1.164412176619983086e+00
1.421816813321000073e+00 1.172684163933875645e+00
1.413754559569955438e+00 1.280900540135636811e+00
1.287212321992337927e+00 1.407954647485803346e+00
1.221605704742108278e+00 1.515567494223915013e+00
1.194076540142136711e+00 1.612077092448763072e+00
1.253394110477144885e+00 1.657644768832131188e+00
1.268319635299161696e+00 1.646349359642736765e+00
1.239707385580317789e+00 1.692617413245328883e+00
1.257986583224586230e+00 1.437022572337302240e+00
1.210945478425373256e+00 1.592554048329730909e+00
1.270791318209955945e+00 1.593386522745723566e+00
1.267668486463993993e+00 1.570917394264902178e+00
1.325345077951703532e+00 1.717558580501311161e+00
1.364191510804834584e+00 1.651744561981053794e+00
1.359230600057887761e+00 1.677000989913466134e+00
1.365213211557438022e+00 1.680139547379460696e+00
1.317356605877487263e+00 1.531619575274205669e+00
1.254548975274571321e+00 1.488829634887649300e+00
1.269878825623669050e+00 1.456551702095953527e+00
1.311710204823088199e+00 1.466470967663902059e+00
1.324711873774583548e+00 1.463881166197531725e+00
1.335812853953286750e+00 1.599000067043390150e+00
1.384608070207544728e+00 1.540357800168867142e+00
1.454752065918925252e+00 1.187321126291259743e+00
1.508420641786807570e+00 1.120097400075576122e+00
1.513857453249170648e+00 1.068161528937211502e+00
1.513601656742544987e+00 1.059599290125168292e+00
1.481784140158784346e+00 1.064039605536166055e+00
1.505939641676943497e+00 1.032978970096342985e+00
1.443966545548552194e+00 1.120835834242469797e+00
1.438657607521132142e+00 1.095102135911822927e+00
1.452707391065064080e+00 1.124804840078565960e+00
1.364375276015571181e+00 1.214878379213788051e+00
1.400921290432072031e+00 1.211676758617630245e+00
1.421406771523985091e+00 1.304541717430267145e+00
1.266376726720199519e+00 1.419143307721513425e+00
1.154837637223252278e+00 1.593719053660993756e+00
1.159106867899904358e+00 1.596755499077858520e+00
1.181696947415326271e+00 1.687193209336402822e+00
1.249372811433631547e+00 1.619949851037863819e+00
1.254030658569826873e+00 1.624393160274024028e+00
1.213141811186222219e+00 1.538234652449498752e+00
1.222027157692167298e+00 1.499484282184335493e+00
1.249612141394761622e+00 1.622313144142169206e+00
1.308188477639051772e+00 1.714021139106887803e+00
1.294583398194216528e+00 1.704267391124992592e+00
1.303362425687475179e+00 1.693798924053333099e+00
1.358036885836356511e+00 1.659003907157980295e+00
1.367595608066325186e+00 1.675207203555014068e+00
1.373671532182096922e+00 1.660563450062355617e+00
1.349071064198725800e+00 1.687869720322598521e+00
1.350229073870341079e+00 1.689878971961974896e+00
1.274282534608305095e+00 1.513751699468164569e+00
1.282736318613089344e+00 1.430989156093131376e+00
1.322051569045760155e+00 1.494621132386447115e+00
1.305493563291345582e+00 1.520499345404495051e+00
1.336974216014968020e+00 1.599675561568957738e+00
1.381829640163597439e+00 1.559805517200829161e+00
1.444888072410179802e+00 1.186823152180246810e+00
1.549371919554118016e+00 1.127385799483086259e+00
1.494097903575507535e+00 1.120342364358680953e+00
1.480724570891654768e+00 1.123425940603762552e+00
1.484772438688467977e+00 1.092198212504898569e+00
1.483693521190343034e+00 1.084071871369132856e+00
1.409310477636682712e+00 1.146705775191708465e+00
1.414979721884916497e+00 1.115924309103588641e+00
1.415915947515396844e+00 1.122700729646384454e+00
1.399156803052054254e+00 1.121287427125055469e+00
1.434561616854618915e+00 1.172393151920359644e+00
1.389974118181919405e+00 1.219561434504108366e+00
1.404837435067433971e+00 1.298746208279722758e+00
1.356062340890588969e+00 1.322444996647775373e+00
1.245106056961086338e+00 1.393032621125082304e+00
1.153858693952288128e+00 1.595786551661628527e+00
1.160938282124480470e+00 1.566574683838607429e+00
1.163314007712605846e+00 1.663243690114089235e+00
1.194580196237634784e+00 1.658179005867243205e+00
1.250665436645998607e+00 1.628064312885131981e+00
1.226439861985439972e+00 1.677710100266312176e+00
1.224028345489575509e+00 1.534333923011274914e+00
1.247589005454079025e+00 1.599039408649002514e+00
1.271177008415692145e+00 1.758566163264889681e+00
1.291143151991352767e+00 1.717894396806816104e+00
1.309532155344426130e+00 1.787049550669013831e+00
1.306118091685811056e+00 1.775966202137657879e+00
1.324700938251755611e+00 1.795078947443992545e+00
1.359565311597691339e+00 1.726795989214408467e+00
1.371412410321082520e+00 1.773800056723326968e+00
1.376969000446322866e+00 1.742882617735374229e+00
1.339397840991868094e+00 1.680184262244064808e+00
1.332281128644235091e+00 1.689681272837573633e+00
1.251968424707375460e+00 1.515888972972597726e+00
1.289429662755215533e+00 1.447444451365358375e+00
1.309788903359928591e+00 1.532088415750120447e+00
1.301345338314416233e+00 1.506064944445647091e+00
1.297419102118260392e+00 1.604333673486559420e+00
1.384199297381358162e+00 1.559613253849607473e+00
1.469016707433790980e+00 1.424765157799909643e+00
1.509588346160019690e+00 1.185420075171975673e+00
1.503047751646364061e+00 1.171334851712729330e+00
1.510620479608972833e+00 1.099184825429790013e+00
1.496791750941456778e+00 1.122343522107191793e+00
1.469083870526879387e+00 1.075347492950719852e+00
1.448843976096471975e+00 1.078324163946394743e+00
1.420293437376750401e+00 1.193935970964594029e+00
1.406629357909708000e+00 1.148479209602837559e+00
1.397241807209028908e+00 1.133836426341885861e+00
1.386525958473882936e+00 1.129624193664984233e+00
1.419522226570633761e+00 1.157163306007873649e+00
1.419362169321687572e+00 1.181665576122300498e+00
1.365172715580232010e+00 1.314421989768540522e+00
1.364537489560235350e+00 1.307287694051731286e+00
1.343175460526294440e+00 1.316128093508829533e+00
1.282234781528474921e+00 1.379965595798967382e+00
1.135271616282992557e+00 1.565452840608033025e+00
1.156913115848348106e+00 1.535366950049282142e+00
1.167876866187140372e+00 1.626601451554952504e+00
1.184745069417506791e+00 1.619031131944604240e+00
1.175539330624495671e+00 1.666092143823789451e+00
1.199233416442062827e+00 1.682188877984930997e+00
1.222994832055030345e+00 1.558437052706048265e+00
1.208324916506645419e+00 1.590402957536579009e+00
1.267147471085792398e+00 1.742201035831620448e+00
1.302940259864073802e+00 1.702240500801541545e+00
1.298752748217280928e+00 1.780128117091307027e+00
1.296356800950156263e+00 1.780905413551814531e+00
1.305903713661195509e+00 1.766909382193407874e+00
1.315980366760256315e+00 1.773350025626513116e+00
1.325798990528812338e+00 1.797604717099755112e+00
1.329666556653589904e+00 1.755297185165599183e+00
1.363021450402615020e+00 1.750629168672594327e+00
1.367831636087931457e+00 1.750852633292354188e+00
1.351664164545161917e+00 1.742504529545295000e+00
1.326020080389046285e+00 1.705027518749459903e+00
1.290951813796729963e+00 1.665658253564096469e+00
1.301420598357125646e+00 1.533550562192787625e+00
1.288343534301530591e+00 1.503946757443248350e+00
1.306363592978481369e+00 1.508583882547346100e+00
1.360325381358357788e+00 1.567054495561126304e+00
1.402893230472785691e+00 1.581976465563662781e+00
1.469021007062076389e+00 1.455839133896855930e+00
1.517922598689432023e+00 1.180313267639484964e+00
1.486597960822576336e+00 1.235892607297166546e+00
1.499393095089713634e+00 1.161110007231759722e+00
1.503615085475080049e+00 1.128367048904280079e+00
1.492570146452296687e+00 1.141747064971173620e+00
1.436978203382775154e+00 1.133423986534250805e+00
1.448892090645998776e+00 1.137146815266636191e+00
1.417848823044810747e+00 1.215103151872340526e+00
1.440388126055163198e+00 1.239652682766034575e+00
1.428363328563020618e+00 1.165605886063286523e+00
1.391448035757691715e+00 1.179371496239874473e+00
1.415097312871951729e+00 1.187081195820736790e+00
1.428456128165318084e+00 1.172325390393879729e+00
1.367335102176266304e+00 1.319066547417648394e+00
1.441040029267435463e+00 1.327292500589019708e+00
1.352037583567883949e+00 1.333051178720805474e+00
1.332663801044132956e+00 1.312079460407800546e+00
1.270032272840834864e+00 1.391369218939363162e+00
1.140460469989814207e+00 1.566866226033890364e+00
1.145571660230615185e+00 1.570164060791258587e+00
1.170023080301294982e+00 1.517419093470353753e+00
1.169453097918715212e+00 1.620287683214862273e+00
1.167478023891894257e+00 1.668220630543335581e+00
1.199714750014988507e+00 1.608985561355120497e+00
1.185651540964729023e+00 1.670691251204982741e+00
1.245691110036720284e+00 1.603215747550308379e+00
1.236329661801889968e+00 1.760366049730815119e+00
1.250512548720936534e+00 1.781251029971940403e+00
1.283114106527952547e+00 1.804463863215637343e+00
1.285305192148505693e+00 1.783172194003508793e+00
1.298864747680887888e+00 1.747921754272746098e+00
1.295920395389589475e+00 1.757211373674882005e+00
1.293152023785901994e+00 1.755435714231746269e+00
1.306376383261001806e+00 1.752991390860650922e+00
1.336694348452409198e+00 1.721503512106820954e+00
1.341462960253245740e+00 1.722770159089420661e+00
1.353542158281081598e+00 1.702328905035602524e+00
1.348550101771529119e+00 1.704638207131601524e+00
1.344983169585701077e+00 1.711624558307734523e+00
1.294724823748038434e+00 1.765103519451220571e+00
1.288182372330347603e+00 1.701458661381390902e+00
1.301075078887334424e+00 1.508585324475155254e+00
1.291968963371764145e+00 1.494128600360553838e+00
1.319435530126001677e+00 1.528871637806241468e+00
1.351045877403285189e+00 1.556411804916770780e+00
1.402836815943483639e+00 1.590187280250958457e+00
1.455448655533930769e+00 1.464334637063561040e+00
1.518755360665166698e+00 1.270856627347650925e+00
1.513106976823520800e+00 1.299987100995946054e+00
1.503397851603599955e+00 1.240428513475968941e+00
1.495137595574415723e+00 1.208482565071998582e+00
1.457334426078305878e+00 1.216750802990901770e+00
1.477930701693884741e+00 1.225101596683147998e+00
1.426066891320737051e+00 1.227441538334881121e+00
1.397545564574089738e+00 1.213900298425032442e+00
1.449825469781617748e+00 1.230771032595995740e+00
1.440384033310455614e+00 1.241489703760487506e+00
1.417881662885451810e+00 1.207912593906125709e+00
1.383929400636826124e+00 1.177524996754496067e+00
1.486786283546523313e+00 1.213336639646589443e+00
1.446068937170875701e+00 1.229282235664196810e+00
1.433578492133153359e+00 1.238695742760026031e+00
1.438930080468450390e+00 1.330442724991775183e+00
1.439882719789896459e+00 1.330672570837794444e+00
