# [SH0ES_CALIB]This is the data for ISO distributed Sne positions with a new set of data for each repetition.
# 500 repetitions, 3072 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_iso_max            delta_q0_iso_max
1.198092985808962840e-02 7.667286881830720491e-01
9.800211548209314394e-03 8.123616381374696438e-01
1.163588028298478960e-02 7.213418413204987223e-01
8.978953729659622240e-03 7.912223092981869321e-01
9.696044909196621653e-03 8.750589977453475665e-01
7.631888742400394499e-03 6.732098854077894767e-01
9.284299791261441115e-03 7.764887463254698252e-01
1.258669676835755258e-02 7.841346591241928898e-01
1.360080196684687603e-02 9.446436629078908132e-01
1.144808504371008784e-02 8.116740807340629971e-01
9.989995231940218545e-03 8.611167781818794831e-01
1.052616253743288155e-02 7.655049114809898692e-01
1.088804106997076637e-02 9.205898407969592689e-01
9.045950311475259298e-03 8.014565023609856453e-01
1.691538244726409346e-02 1.214954615354163936e+00
1.200497301640424119e-02 1.037317601454794236e+00
1.476760363054119285e-02 7.887494052702747060e-01
1.259565248741600918e-02 8.952650405219644281e-01
1.028637274893240416e-02 7.080385724272653114e-01
9.085628871480566637e-03 6.617187105924940971e-01
1.314983177044481977e-02 1.163474086398738283e+00
1.007579360141053204e-02 7.394886084620211353e-01
1.147708951593973126e-02 9.477126062211961299e-01
6.703985433240911007e-03 7.087990233697587517e-01
1.187782952190552521e-02 9.707639381804837875e-01
1.444383317430131264e-02 1.124583437117251616e+00
6.688798768184400778e-03 5.242497749621409797e-01
1.036079083753427277e-02 7.277791436630676181e-01
7.361509346383576791e-03 5.473875337595925927e-01
8.428953596351651534e-03 6.110670697791447115e-01
1.026285979658980718e-02 8.591856094562808632e-01
9.917321957314428893e-03 7.027298478812564753e-01
6.825599341310328860e-03 5.472266707150392762e-01
1.003065309733708332e-02 9.234530719724077796e-01
7.015477568007355558e-03 4.990837299009572292e-01
1.190297576291732273e-02 8.501883152786631204e-01
7.870476497411793559e-03 5.796686375274754388e-01
9.178784917841187330e-03 5.630597858666973599e-01
1.294287478556954696e-02 8.943771068922051759e-01
1.036276553808956891e-02 7.274867823968571567e-01
1.030496543217840344e-02 6.719981255424691824e-01
1.144897551171242256e-02 8.660911190778584068e-01
7.275762522906625840e-03 5.001322915695032290e-01
1.267766552342997066e-02 1.033217423297574600e+00
1.331328903752548865e-02 1.094682131937743552e+00
1.216994008222971324e-02 9.539562020542294851e-01
1.006597446412893504e-02 7.890730133644709987e-01
1.019094306785484072e-02 6.479121501477991263e-01
9.946194565400134913e-03 6.246025444691840622e-01
7.738044810002731033e-03 6.778022484588288599e-01
1.322989164194343648e-02 1.113201973777838028e+00
1.340275922060552016e-02 1.058066708793629962e+00
9.804288100141222984e-03 6.792420930475110419e-01
9.981733651623692083e-03 6.824289026898653354e-01
1.204540062878178830e-02 7.747018184762934911e-01
9.201701932497585723e-03 7.096417947053939024e-01
1.179259444518976352e-02 9.349526624807057429e-01
9.566148157213127945e-03 8.478919928238194403e-01
1.073473794397383774e-02 7.570945841526568465e-01
1.376880376113986948e-02 1.030108838074098365e+00
1.410469655260904176e-02 8.935841154428538768e-01
1.573861457058212121e-02 9.738865571453305670e-01
1.179865519058698187e-02 7.384118952794749280e-01
1.300063831183795315e-02 7.872177423928372608e-01
1.295402211096263745e-02 8.967845846967945622e-01
8.699228953200077719e-03 5.984811487718944001e-01
1.481950396127273972e-02 9.032152831735840159e-01
1.289968540175223666e-02 8.790581856032928521e-01
1.310861173515287526e-02 9.452801520577576166e-01
1.039312307704920446e-02 8.441742524215255505e-01
8.651227091290514259e-03 6.428309273966104076e-01
8.333316068851237546e-03 7.986321749564329053e-01
7.707209821961380491e-03 5.384312930977246392e-01
8.072676374294762702e-03 6.518232577144325024e-01
8.131355463637746084e-03 7.897141828442548750e-01
1.008350861314366576e-02 6.774509428282173840e-01
1.402731244452271042e-02 9.471318068034699778e-01
1.013232942221631294e-02 7.173691482509625406e-01
1.139902369626788481e-02 7.844721725540478863e-01
9.265949390580563438e-03 5.987633861285874826e-01
9.988719280336288975e-03 6.909401777830583846e-01
1.266307752074247173e-02 9.774927176333466639e-01
8.389094099874205845e-03 6.435034900549758685e-01
1.245697130627743121e-02 1.100912180364484794e+00
7.267136631051718254e-03 6.351735884084825923e-01
9.323441018823652726e-03 7.042128784992482959e-01
7.673203192539390649e-03 7.218486084010888870e-01
1.016447717511392845e-02 7.612187458450302424e-01
8.761697289520697929e-03 7.328456305366930490e-01
1.076095684209565917e-02 6.668399308159851380e-01
7.817718265478945661e-03 4.735200978537153493e-01
1.021043664862053557e-02 7.053058209156610747e-01
1.190257391302940171e-02 1.188502873188472586e+00
1.146937207813170101e-02 7.763374311980512088e-01
9.861989506018686846e-03 6.378199876096730669e-01
9.207189653742453572e-03 7.369736059828166930e-01
1.030574403518991211e-02 7.229991093480190312e-01
7.769756749354428393e-03 6.334917607692045483e-01
8.786968616327106574e-03 6.944757534062369064e-01
9.376922097068862705e-03 8.496025727292657592e-01
1.610185479537362685e-02 1.253030110487977078e+00
1.125452307879959424e-02 9.785074674423570595e-01
7.603102729300981188e-03 6.109911186321568266e-01
1.066079355365046055e-02 7.422508292575007438e-01
9.631132073417925099e-03 7.279637210467617692e-01
9.746911167546445931e-03 8.604129377772260501e-01
1.393558713305897978e-02 1.112719173507899173e+00
1.422680591531122474e-02 1.195198485585495574e+00
6.545048141719078671e-03 5.962973163527981457e-01
1.055425831636713774e-02 9.176467469997536819e-01
8.449032874128348247e-03 5.562253455009626979e-01
1.404358020840779098e-02 1.256349068309650319e+00
8.786060737832168677e-03 8.145235828173515991e-01
1.313935380461239699e-02 9.800150516950314472e-01
1.303770446974894526e-02 9.598609970151713577e-01
1.085835288714964708e-02 8.850519692073222089e-01
1.114408338986783154e-02 8.075459115005179100e-01
1.117980593414424906e-02 8.276457775747239065e-01
1.430514844094754601e-02 1.079558075245538484e+00
1.317253319433375758e-02 1.035101790650801323e+00
1.382060282447683530e-02 8.806344938028364266e-01
7.861567114963108338e-03 6.340000788680769661e-01
1.237964812455583097e-02 8.751965573875742921e-01
1.427729531606714009e-02 1.095931510133771214e+00
7.469340670543611616e-03 6.715478996508358334e-01
1.314965361807796107e-02 1.182640564885599987e+00
9.475071329311024471e-03 6.163701409888030502e-01
1.058985725946193224e-02 8.463814795855524320e-01
1.118615464608607724e-02 8.272529723618871067e-01
1.236392470629110729e-02 1.117261082766704661e+00
1.172730147015976776e-02 8.849930079569527930e-01
1.467085266095502494e-02 1.141078436961968423e+00
9.642959358439506801e-03 7.603715260030394774e-01
9.708297307432500745e-03 7.271254645851986664e-01
1.294243994015142896e-02 8.026457497736743107e-01
1.062671102925083488e-02 8.756001322052300306e-01
1.235115378493401028e-02 8.346746777726079536e-01
1.064277077488184897e-02 7.487837277757387611e-01
1.324731945196766514e-02 1.136832174099566384e+00
8.188321969279765966e-03 7.433903369632781644e-01
1.127948916456700257e-02 9.620097024927836138e-01
1.080656384394318437e-02 8.201624634973998518e-01
1.796973057555040221e-02 1.099831972830469073e+00
9.477335305997813819e-03 7.339504531577680790e-01
9.850245036318594494e-03 6.734908453408676721e-01
9.340681867272659922e-03 5.668669871127886006e-01
7.572553347172217286e-03 6.152002209454865422e-01
7.309008090027546700e-03 6.837565197817174756e-01
1.639063021587849889e-02 1.090254615217879586e+00
9.605988849820779052e-03 8.039902609855651416e-01
9.887973885622014514e-03 7.456965733180140887e-01
7.539918810993806453e-03 6.768299347175815717e-01
9.533974921757448762e-03 7.594410230038594056e-01
9.982973985313670084e-03 8.584009001875390066e-01
1.186865414434268295e-02 8.745599653615079294e-01
1.129541948497436721e-02 8.456743474420376216e-01
